rank	username	minecraft:used/minecraft:granite_stairs
1	Smoke____	3033
2	lcvezra	606
3	TheShyPig	478
4	Lord_Jord	420
5	r123moore	327
6	Steelynan	318
7	Stiar	193
8	Snowflowe	191
9	Merv__	109
10	paranoid_plant	95
11	NomadicRobin_	94
11	Enderslayerxz3	94
13	UCP_TheKingK	91
14	Snow_Blizzard	83
15	kekhon	65
16	Soplight	61
17	PlasticOtari	50
18	Mahoose	40
19	ImpavidArcher	31
20	Choco_Spy	30
20	radioactv_jelly	30
22	englandlondon	27
23	Kakolbus	22
23	RodSerlingCringe	22
25	GLLogan2	20
26	tartanboy	15
27	titanlax	14
28	Maenara	13
28	TheRealHi	13
30	Malorn_Aetherius	12
30	SamZombie	12
30	Meatlaugh	12
33	Deathkob	11
34	gcaisawesome	10
35	avalan64	9
36	Groovy_MoonBird	8
36	Akoot_	8
36	SingedBread	8
39	Historical_Sand	7
40	Incinere	5
40	EcksDofficial	5
42	pintsizedrogue	4
42	little_dUki	4
44	KarlKaek	3
44	Bumpy419	3
44	PortlyPete69	3
47	BobDeBouwer1337	2
47	SellyZ	2
47	Zythose	2
47	Racengan	2
47	starbits140	2
47	Skippeh	2
53	Smashic	1
53	Kkanot	1
53	Di_infiri	1
53	RobotMinion101	1
53	Spacewardharpy7	1
53	Legendosh	1
53	kinas45y5	1
