rank	username	minecraft:used/minecraft:jungle_button
1	PigDab	317
2	YungMaki	61
3	Steelynan	50
4	joethahobo	41
5	eitanzaki	34
6	THEKINGLyric10	29
7	jnp_gaming	27
8	ConnorDanky_	22
8	bladeefan2009	22
10	himak1	20
11	Hpdinosaur	16
11	ShedJr_	16
11	FreakGenius	16
14	noodlepack	14
15	beeperbeeper5	13
16	FazeObama69	9
17	ese_wn_po	8
18	mwrty	7
18	Jackattack53	7
20	Hyp3rion_	6
20	PlasticOtari	6
20	Smoke____	6
23	Maenara	5
24	Fullut	4
24	SuperPooch06	4
26	FreddyFart	3
26	The_slideV3	3
26	Ezekson	3
29	Mahoose	2
29	TheShyPig	2
29	EveryonesUncle	2
29	Fuad_R	2
29	Spacewardharpy7	2
29	SvenskaHugo	2
29	anbbang	2
36	Mr_Byzantine	1
36	the_fireminer	1
36	Awyrlas	1
36	noam464	1
36	MyNameIsJobo	1
36	Tank_Kuma	1
36	luseis	1
36	HellsSponge	1
36	mafiKiwi	1
36	SwooshBoi	1
36	MightyWertu	1
36	MovingFish7	1
36	Soplight	1
