rank	username	minecraft:used/minecraft:jungle_log
1	Prodiginus	1972
2	Yamdalorian	1693
3	SvenskaHugo	1628
4	PigDab	1360
5	Xclax101	1264
6	EveryonesUncle	1165
7	kekhon	1133
8	BronkerBrum	1121
9	PlasticOtari	1024
10	eviltunix	959
11	Winklepicker279	936
12	joethahobo	908
13	Kubelz	797
14	Mahoose	794
15	Merv__	738
16	Steelynan	735
17	annebolyn	684
18	titanlax	683
19	yheece	661
20	Blackberry1310	652
21	Pumpkin_P_Patch	503
22	12Magner05	485
23	Stiar	473
24	El_Jalapeno	466
25	HellsSponge	415
26	noam464	414
27	ConnorDanky_	402
28	QuesoCrusaderIII	393
29	Factoroni	382
30	TheWickedBird	378
31	Blaiku	367
32	ShedJr_	359
32	Jonte0599	359
34	Mr_Byzantine	305
35	beeperbeeper5	299
36	Hyp3rion_	297
37	Spacewardharpy7	289
38	Rumpletaezer	280
39	IWorkAtIkea	262
40	ApophisNova	261
40	MyNamaSheff	261
42	MightyWertu	240
43	luseis	238
44	calamariclam_I	230
45	MattieHD	213
46	ROY4LE	209
47	thewindmillman	204
48	QuiCreans	195
49	_Dean_123	193
50	Huwulling	191
51	CoffeeNoir	189
52	DemTechAlpha	183
53	tuckerdoodle	177
54	Mattesco	175
55	emreknugrlu	174
56	hanaryheatwave	172
57	Marbz_	168
57	F_Uhre	168
59	coobert42	158
60	RebelAndroid	154
61	Manaateee	152
62	Kowcio_	133
63	Onennon	130
64	Cryptacity	127
65	oscminus	125
66	Gregward_Smith	119
66	OfficerAnvil	119
68	YungMaki	118
69	MovingFish7	117
70	Airem_Core	116
71	U_Mos_	115
72	eitanzaki	114
73	Lord_Jord	113
73	TechnoNinja64	113
75	Toiton	111
76	skroobiez	110
77	Enderxz3	109
78	MyNameIsJobo	108
79	jnp_gaming	107
80	Xalithia	103
81	jessemgaming	101
81	Secret_Canary	101
81	Di_infiri	101
84	CLG_Kata	98
84	RefluxRatio	98
86	Frozil20	90
87	pintsizedrogue	87
88	Bandito_Roamer	86
89	Legendosh	85
90	T045RTY	84
