rank	username	minecraft:used/minecraft:lever
1	noam464	5337
2	Di_infiri	3445
3	HellsSponge	3113
4	eitanzaki	2227
5	Spacewardharpy7	1796
6	beeperbeeper5	1583
7	PigDab	1218
8	joethahobo	1112
9	Hyp3rion_	1081
10	thewindmillman	967
11	AdmiralSmoke	939
12	T045RTY	886
13	Zythose	751
14	Jackattack53	728
15	lillips	688
16	CattSoup	550
17	r123moore	504
18	ImpavidArcher	454
19	Kowcio_	448
20	Lez_	423
21	EMC_	409
22	thescout7	394
23	RebelAndroid	390
24	gcaisawesome	356
25	MyNameIsJobo	350
26	Historical_Sand	329
27	Arceus1975	312
27	Soplight	312
29	EveryonesUncle	305
30	EcksD	299
31	non089	290
32	Mahoose	286
33	PortlyPete69	282
34	fkGrim	270
35	Manaateee	268
36	PlasticOtari	264
37	mihimihimihi	260
38	pintsizedrogue	245
39	FreakGenius	244
40	OfficerAnvil	228
41	BumbleBeever	223
42	12Magner05	219
43	JESS_THE_RERE	211
44	Ryan_GEMS	197
45	Frozil20	195
46	Lord_Jord	194
47	oscminus	182
47	claivin	182
47	07shiny	182
50	Werbe	178
51	Ezekson	174
52	Snowflowe	164
53	pixelviolin	159
54	500am	148
55	Merv__	146
55	_Dean_123	146
57	TheShyPig	143
58	Racengan	139
59	Mr_Byzantine	138
60	kekhon	137
61	Blaiku	135
62	TechnoNinja64	128
63	_Virify_	126
63	Segotep999	126
65	luseis	124
66	TheSecondLord	116
66	Skippeh	116
68	censorsheep	112
69	Blackberry1310	111
69	Kakolbus	111
71	Prismyst	110
72	fw3xy74	106
73	xxPipperDipperxx	104
74	ECstardust	102
75	Elastiq	101
76	El_Jalapeno	98
77	Bumpy419	97
78	Blu3beast	94
79	PhantomsGhost_	93
80	lordpipe	91
81	jnp_gaming	88
82	_Mythic____	87
83	bigstankyy	86
83	WyngGoy	86
85	ProfessorBee	84
86	Jimb0nat0r	82
87	The_slideV3	79
87	Quotary	79
89	MightyWertu	77
90	Fullut	76
91	Warlord324	75
92	Enderxz3	74
93	sp00ky_ghost977	73
94	Strangemonkey71	71
95	ivorico	70
96	PazinGaming	69
96	Shogunite	69
96	YungMaki	69
99	IgnoredBee	68
100	Hisiste	67
101	teslawolf38	66
101	Alteriity	66
101	GravitySaint	66
101	Sral7	66
105	IamCL4SSY	64
106	eiC_	62
107	fffMike	60
108	rarrq	59
108	Akoot_	59
108	Xclax101	59
111	mwrty	58
111	StinkyDiplomat	58
111	Iamthejo	58
114	Krowuss	57
114	BlankityMcBlank	57
116	Ryker	56
117	NameGenerat0r	55
117	ayamefag	55
119	Deathkob	54
120	Jimi7hits	53
120	Inbefour	53
120	Steelynan	53
123	mariominejedi	52
123	Skylord_Luke	52
123	obzii	52
126	FreddyFart	51
127	Smashic	50
127	LexMakesHistory	50
127	Factoroni	50
127	Hermanni__	50
131	TheThomas69	48
131	SteveCraftBlocks	48
131	FishyBoy3811	48
131	kyouma777	48
131	anbbang	48
136	Crowman1	47
137	_Boipl_	46
137	SSytex_X	46
139	yulgur1	44
139	Groundler	44
141	M_Patata	43
141	MAns_44	43
141	IAmTheWalrus910	43
144	TheDankPlatypus	42
144	DanTheBuilderino	42
144	ConnorDanky_	42
147	LeonelSalamanca	41
147	SammiWolfGirl	41
147	ProbsNotNova	41
150	Inchef	40
150	eviltunix	40
152	Apollo_993	39
152	Chromary	39
152	Wowful	39
152	jcool7	39
156	Huwulling	38
156	MattieHD	38
156	Eraxa	38
159	jacxhadow	37
159	tsitrawhy	37
161	Nicky_H225	36
161	Luigipunch989	36
163	Rebytre	35
164	MinttyFressh	34
164	slkiey	34
164	SellyZ	34
167	Jovaphobic	33
167	Lutres_	33
167	diggydog67	33
170	MuffinManzz	32
170	heckface	32
170	AnnieBathory	32
170	SkateboardR6	32
170	SvenskaHugo	32
170	mawileite	32
176	diamondgolem35	31
176	ItsMrRamen	31
178	Comma__	30
178	RobotMinion101	30
178	__tomato	30
178	EngagedGrub41	30
178	cichy096	30
183	dimondking777	29
183	dopplexd	29
183	jushykins	29
183	bloodbiter	29
183	Marbz_	29
183	Hiryu27	29
183	stuy9	29
183	MustaLoordi	29
183	Legendosh	29
192	SlayerCrypto	28
192	TheDumbHuman	28
192	Jordan_R	28
195	fr0stss	27
195	2blox_	27
197	m_be9	26
197	DTwenty	26
197	autisticcupcake	26
197	Kubeusz2010	26
201	Swexti	25
201	4774	25
201	cedric72	25
201	fluddd	25
201	Shin69	25
201	MilleGrug	25
207	Sleepy_Time_	24
207	burbankbuilder28	24
207	Fuad_R	24
207	FishisTTV	24
211	Rumpletaezer	23
211	Nicserso	23
213	Awyrlas	22
213	Mattesco	22
213	ese_wn_po	22
213	KingMatthew506	22
217	H0UNDFRMH3LL	21
217	Groovy_MoonBird	21
217	Xalithia	21
217	J4k__	21
217	SpacesickPrism	21
217	PlzNoBM	21
217	CalebDHawk	21
217	vandmanden	21
225	SaucyDark	20
225	NotMeanttoChange	20
225	whoaluv	20
225	Maenara	20
225	audiocracked	20
225	Fuhrer_Teemo	20
225	radioactv_jelly	20
225	Kateesaur	20
233	Tiberonus	19
233	Bucscw24	19
233	CaptainDeadBread	19
233	Onennon	19
233	zToasty69z	19
233	madderfall	19
233	starbits140	19
240	shineh10	18
240	DAD_1996	18
240	AuroraSkies	18
240	DemTechAlpha	18
244	KarlKaek	17
244	MOSS000	17
244	lorpus	17
244	Winklepicker279	17
244	SuperPooch06	17
244	Kouridragon	17
244	ClemenPine	17
244	HolyVenom	17
244	Tyrannosplart	17
244	Nycteus_	17
244	MasterNueve	17
255	ssleepless	16
255	Megarboh	16
255	excelsionprime	16
255	shadowthemonkey	16
255	legal_tax_evader	16
255	Nyxiom_	16
255	MinerDec	16
255	groofles	16
255	Steve897	16
255	Fildyr	16
255	AvaRosey	16
266	Tobinator_007	15
266	_Nuf	15
266	HoltGrim	15
266	CarltheCuck	15
266	masskedman	15
266	Barlycorn	15
266	alderban107	15
273	Louiis123	14
273	k_ce	14
273	SmashingPump	14
273	301851	14
273	Malorn_Aetherius	14
273	Nach0Bear	14
273	Paintz	14
273	ApophisNova	14
273	tlustyCZARNY	14
273	Druid95	14
273	MyNamaSheff	14
273	HesDemonPants	14
273	The_SlideV5	14
273	JayToe	14
287	tuckerdoodle	13
287	jessewegottacook	13
287	Guillemet	13
287	RIPB0ZO	13
287	impossibleteapot	13
287	CaptainAvenger7	13
287	Gryglu583	13
287	Russiancat1	13
287	yatsuta	13
296	weezygator	12
296	xXTheWolfmanXx	12
296	Flores991	12
296	Base_Tempest	12
296	valkam13	12
