rank	username	minecraft:used/minecraft:light_gray_concrete
1	Groundler	13553
2	noam464	9394
3	thescout7	7745
4	TheSecondLord	6070
5	Di_infiri	3953
6	titanlax	3516
7	Winklepicker279	3237
8	Jackattack53	3065
9	lillips	2428
10	beeperbeeper5	2122
11	Mythic1130	2062
12	EveryonesUncle	1903
13	Inchef	1736
14	alderban107	1621
15	thebaddruid	1543
16	Onennon	1493
17	eitanzaki	1335
18	joethahobo	1292
19	Rumpletaezer	1214
20	Sral7	1183
21	Swexti	1066
22	RobotMinion101	1054
23	NameGenerat0r	874
24	PlasticOtari	843
25	ImpavidArcher	817
26	_Karmaa	773
27	__tomato	752
28	xxPipperDipperxx	744
29	SkateboardR6	740
30	Mahoose	617
31	Blaiku	555
32	ConnorDanky_	546
33	drunkeeez	538
34	Tyrannosplart	502
35	fffMike	479
36	Winston_Ingram	473
37	Incinere	451
38	thewindmillman	433
39	EcksD	386
40	Elastiq	330
41	AJplaysMC_	298
42	BlankityMcBlank	294
43	MattieHD	280
44	500am	230
45	PortlyPete69	215
46	bigstankyy	207
47	The_slideV3	187
48	RoskobiOne	186
49	oreee	185
50	Xclax101	177
51	_Huge_Male_	174
52	Zoeyfortnite	166
53	Hiryu27	165
54	Skylord_Luke	136
55	NotMeanttoChange	134
56	PhantomsGhost_	124
57	ApophisNova	112
57	MyNamaSheff	112
59	Ailmast	101
60	lordpipe	99
61	I_Am_Mushkin	87
62	Blackberry1310	84
62	YungMaki	84
64	Deathkob	75
65	Shogunite	74
66	Chromary	72
67	ROY4LE	70
68	kekhon	68
69	Eraxa	67
70	_Dri_	65
71	Comma__	63
72	Ssor69	59
73	Biites	55
74	Yahir091	54
75	Spacewardharpy7	45
76	LordSpeed37	44
76	Ezekson	44
78	Hyp3rion_	38
78	Soap_Bender	38
80	gusstationwerker	37
81	lorpus	33
81	Hoid_the_Roamer	33
83	Smoke____	29
84	Merv__	27
85	teslawolf38	23
86	HellsSponge	22
87	StinkyDiplomat	20
88	Otarichi	17
88	The_SlideV5	17
90	JayToe	16
91	pintsizedrogue	14
91	Arceus1975	14
93	Inbefour	12
94	theonlymagikarp	11
94	Truckoss	11
96	mwrty	9
97	Lez_	8
97	yaboo88	8
97	RoofTyler	8
97	mihimihimihi	8
101	M_Patata	7
101	NomadicRobin_	7
101	Agent108	7
101	claivin	7
101	MasterNueve	7
106	__Auspicious	6
106	Strangemonkey71	6
106	UCP_TheKingK	6
109	Jackster03	5
109	_Bguette_	5
109	WyngGoy	5
112	xzvu	4
112	jnp_gaming	4
114	seanitoo	3
114	6king6colt6	3
114	Cryptacity	3
114	m_be9	3
114	eviltunix	3
114	Snowflowe	3
114	Hisiste	3
114	MakeHistory157	3
114	sp00ky_ghost977	3
114	Jimb0nat0r	3
124	CarsonDoesMine	2
124	ITDV	2
124	ProfessorBee	2
124	Fullut	2
124	XboxPanda	2
124	Aerqophs	2
124	SaintJosie	2
124	ILoveCarrot	2
124	yulgur1	2
124	MustaLoordi	2
124	Soplight	2
124	SSytex_X	2
124	VentiHilton	2
124	Quotary	2
124	Nicserso	2
139	Cowison	1
139	FrostySlimez	1
139	Jindong	1
139	Batman922	1
139	asspharte	1
139	gcaisawesome	1
139	Covalents	1
139	thgrocks	1
139	IamCL4SSY	1
139	Akoot_	1
139	binman420	1
139	_p1ta_	1
139	cog	1
139	ayamefag	1
139	Sheldor097	1
139	Enderxz3	1
139	h2p_emrld	1
