rank	username	minecraft:used/minecraft:lime_glazed_terracotta
1	thewindmillman	1612
2	Spacewardharpy7	557
3	emreknugrlu	164
4	Merv__	161
5	Inbefour	151
6	Hyp3rion_	108
7	Jackattack53	76
8	Lez_	70
9	Yamdalorian	69
10	noam464	50
11	_Virify_	44
12	SuperPooch06	41
13	TheShyPig	25
14	Mahoose	20
15	Mr_Byzantine	19
16	mihimihimihi	17
17	SaucyDark	16
18	ApophisNova	15
18	MyNamaSheff	15
20	lordpipe	12
21	YungMaki	10
22	beeperbeeper5	7
22	AspenLightVT	7
22	StinkyDiplomat	7
25	CarltheCuck	6
26	eitanzaki	5
26	Werbe	5
26	Buuck_	5
26	Pumpkin_P_Patch	5
26	Soplight	5
26	ConnorDanky_	5
32	joethahobo	4
33	shineh10	3
33	oscminus	3
33	DemTechAlpha	3
36	Fullut	2
36	Bumpy419	2
36	ItsDeltaMC	2
36	Kowcio_	2
36	EngagedGrub41	2
41	RatatJuice	1
41	Krowuss	1
41	The11thDoctor	1
41	Razzgriz	1
41	_Mythic____	1
