rank	username	minecraft:used/minecraft:lodestone
1	ConnorDanky_	25
2	Enderxz3	14
3	Mahoose	13
4	12Magner05	11
5	noam464	10
5	YungMaki	10
7	MangoTheFish	9
7	Eczbek	9
9	Awyrlas	6
10	beeperbeeper5	5
10	Touched_Bread	5
10	Eraxa	5
13	ShedJr_	4
13	Fullut	4
13	Winklepicker279	4
13	thewindmillman	4
17	T045RTY	3
17	FreakGenius	3
17	LazySupport00	3
17	PlasticOtari	3
21	_Virify_	2
21	RebelAndroid	2
21	CoffeeNoir	2
21	Historical_Sand	2
21	500am	2
21	Inchef	2
21	Rebytre	2
21	TheShyPig	2
21	RealGroot	2
30	pintsizedrogue	1
30	SmashingPump	1
30	teslawolf38	1
30	Sleek_Storm_721	1
30	joethahobo	1
30	TheSecondLord	1
30	Masssonnn	1
30	mwrty	1
30	lorpus	1
30	gcaisawesome	1
30	ZA07	1
30	Lord_Jord	1
30	Wowful	1
30	yulgur1	1
30	EveryonesUncle	1
30	Nycteus_	1
30	Blaiku	1
30	Kubeusz2010	1
30	Ezekson	1
30	EcksD	1
30	Legendosh	1
30	Smoke____	1
