rank	username	minecraft:used/minecraft:magenta_terracotta
1	Rumpletaezer	1874
2	YungMaki	1398
3	Werbe	905
4	TheSecondLord	785
5	joethahobo	658
6	sxc_	635
7	PlasticOtari	485
8	Merv__	445
9	Smoke____	262
10	thewindmillman	214
11	kekhon	196
12	mobunni	171
13	Soplight	130
14	Lord_Jord	129
15	EMC_	122
16	pintsizedrogue	111
16	ooga47	111
18	luseis	86
19	Steelynan	78
20	NameGenerat0r	74
21	theonlymagikarp	52
22	Sral7	34
23	EcksD	28
24	Lez_	27
25	lordpipe	24
26	Inbefour	20
26	Blu3beast	20
28	beeperbeeper5	19
29	ConnorDanky_	18
30	fluddd	16
31	eitanzaki	14
31	__tomato	14
33	mwrty	12
34	The_SlideV5	10
35	Mattesco	8
35	Jiminbub	8
37	_HoneySlime_	6
38	Huwulling	5
39	xzvu	4
39	Jimb0nat0r	4
41	Hpdinosaur	3
41	Mahoose	3
43	Groovy_MoonBird	2
43	Bandito_Roamer	2
43	AuroraValkyrie	2
43	noam464	2
43	HAIRYCLOUD626	2
43	pixelviolin	2
43	FelixPSY375	2
43	Legendosh	2
51	Batman922	1
51	peach0s	1
51	500am	1
51	gcaisawesome	1
51	Spacewardharpy7	1
51	ItsDeltaMC	1
51	EngagedGrub41	1
