rank	username	minecraft:used/minecraft:melon_seeds
1	Di_infiri	3276
2	noam464	1523
3	eitanzaki	917
4	Deathkob	812
5	diggydog67	808
6	Inbefour	626
7	q_wq	567
8	Freak_Genius	315
9	Omar_Alone	287
10	Blackberry1310	258
11	PigDab	237
12	HellsSponge	230
13	pintsizedrogue	195
13	Fast_Turtle	195
15	Dan_Scha	192
16	Blaiku	190
17	CoffeeNoir	186
18	starbits140	176
19	El_Jalapeno	151
20	Negriuke	140
21	beeperbeeper5	133
22	Kakolbus	132
23	Hisiste	130
24	JayToe	128
25	m_be9	126
26	Comma__	125
27	joethahobo	124
28	Smoke____	116
29	Akoot_	115
30	slkiey	109
31	_stets	100
32	Karetoko	90
33	KarlKaek	88
34	Voxin2K	86
35	Katsuragi0243218	83
36	YungMaki	82
37	Historical_Sand	81
38	TechnoNinja64	77
39	Snowflowe	73
40	kekhon	71
41	SaucyDark	69
42	Rumpletaezer	66
43	The_slideV3	60
44	HesDemonPants	58
45	SlayerCrypto	57
46	Barlycorn	55
47	thescout7	54
48	Mr_Byzantine	53
49	TheSecondLord	52
49	PegLegPete93	52
51	PortlyPete69	51
52	Xalithia	50
53	youhjjhhhjj	47
54	Cortexia	45
55	TheShyPig	44
55	LordAurum	44
57	Fullut	43
58	theonlymagikarp	41
59	RadarHz	40
60	MyNameIsJobo	39
61	MustardDrinker	38
62	6king6colt6	36
62	Soplight	36
62	HAruSAme14	36
65	titanlax	35
65	UrbanPlanner1978	35
67	seramalen	34
67	Vorlice	34
67	Zoeyfortnite	34
70	ShedJr_	33
71	Hormones	31
71	nut_e	31
71	Lowjinx	31
74	fred870d	30
74	Legendosh	30
76	HollieDaNugget	29
76	ItsAki_	29
76	cichy096	29
76	FishisTTV	29
80	xxPipperDipperxx	28
81	Bandito_Roamer	27
81	ori0le	27
81	Sheldor097	27
84	livingdaydreams	26
85	Leyna3	25
85	rotten_mango	25
85	Xclax101	25
85	_Tilariel_	25
85	djancak	25
90	numbra	24
90	openatheclose	24
90	IceYoung	24
90	lcvezra	24
94	CaptainDeadBread	23
94	HuangMeiHua	23
96	Mahoose	22
96	UncreativeArtist	22
96	sp00ky_ghost977	22
99	Euclidoris	21
99	AlexStrange	21
99	Soul_Atreus	21
102	Hyugo	20
102	striker90333	20
102	SpaceTurtleOX	20
105	Ssor69	19
105	grislgrobl	19
105	lizardfightclub	19
105	Joestra	19
105	Cocoamallows	19
105	Haadrada	19
111	leaf26	18
111	Kubelz	18
111	loveseeker	18
111	MonitorLizards	18
111	MightyWertu	18
111	Nekomin0	18
117	Motsaro	17
117	BlueZabu	17
117	FetteMutter	17
120	RebelAndroid	16
120	Zythose	16
120	LeeMcGee30	16
123	dudcreeper	15
123	Ezekson	15
125	DarkFisto	14
125	jacxhadow	14
125	wiqor	14
125	platinumzero	14
125	nitram49b	14
125	andy_rex	14
125	DAD_1996	14
132	Alexanderjac	13
132	Dedalus36	13
132	ImpavidArcher	13
132	Warlord324	13
132	WyngGoy	13
137	Whiterooster001	12
137	KillerNekoRain	12
137	XenoWolf_ITA	12
140	Bruh77	11
140	ProfessorBee	11
140	Zaridey	11
140	thewindmillman	11
140	BRRRN179	11
140	stuy9	11
140	Yoaty	11
140	SammiWolfGirl	11
148	rats_life	10
148	Tommhh	10
148	Studyhallsaver	10
148	Hiryu27	10
148	KlausVonStiglitz	10
148	Pickel_Lord	10
148	Skippeh	10
148	TheOnlyRake	10
156	maliraspberry	9
156	CrookedKaptain	9
156	eiC_	9
156	Windo_licker	9
156	whoaluv	9
156	NarwhalTaco	9
156	natajimi	9
156	Typadopoulos	9
156	cytotoxaint	9
156	Jij0	9
156	Ripzch	9
156	MeetTheWollo	9
168	The_Thund	8
168	BobDeBouwer1337	8
168	AnnieBathory	8
168	Muffindrake	8
168	cedric72	8
168	Blamphe	8
168	SUN_DREAM	8
168	legoclone09	8
168	VillagerHuh	8
168	Deguns123	8
178	Werbe	7
178	SullivanNephew	7
178	AlphaWolfPlaysMC	7
178	AssEatrAndLicker	7
178	Shadow4381	7
178	CoryJJ	7
184	dopplexd	6
184	Kamflame10	6
184	AJplaysMC_	6
184	LunarRedPanda	6
184	ooga47	6
184	Russiancat1	6
184	lilguppy	6
184	bloomkieren	6
184	_TCARREIRA_	6
184	Rainaldus	6
194	awesomeoneme	5
194	FirsTimeGamingTV	5
194	AlejandroPH1	5
194	Lumien_	5
194	Meatlaugh	5
194	claivin	5
194	Glumb0	5
194	smogfrog	5
194	Enderslayerxz3	5
194	adiccting01	5
204	funeralhome	4
204	abramgray	4
204	dabloons	4
204	jushykins	4
204	PlasmaElk	4
204	ehunt54	4
204	Kouridragon	4
204	KeruNatsema	4
204	theofiel	4
204	chipklip	4
204	JESS_THE_RERE	4
204	KermitTheKripple	4
204	markaus77	4
204	Dusk_95	4
204	bothan13	4
204	IvarEXE	4
220	Merv__	3
220	Jackster03	3
220	Ozixar	3
220	Cryptacity	3
220	MattieHD	3
220	Gamergirl420628	3
220	CharlieButt	3
220	_bruhhhhh	3
220	Deadlyy	3
220	fkGrim	3
220	Jiminie	3
220	sufjanlover	3
220	Quincannon	3
220	ewpunk	3
220	halfbakedlasagna	3
220	ComplexSquirrel	3
220	PabloGonza02	3
220	gaming4Naming	3
220	Njensen7	3
239	Groovy_MoonBird	2
239	No_u4	2
239	chlorinex	2
239	Auseawesome	2
239	bloodbiter	2
239	AngalexikCZ	2
239	zemey	2
239	LitoDelvito	2
239	victorLIE	2
239	CarryLine	2
239	tt4yy4	2
239	SolicitedPuma101	2
239	MyNameIsDakar	2
239	Blu3beast	2
239	marumochis	2
239	07shiny	2
239	OfficerAnvil	2
239	Jordan_R	2
257	SugarMyNuggets	1
257	I_Am_Mushkin	1
257	Zipdrip	1
257	T045RTY	1
257	Cats_Fly	1
257	bbrothers_5	1
257	Ardennes	1
257	TowenPL	1
257	SteveCraftBlocks	1
257	CarbonatedCola	1
257	minersam1	1
257	Dali1465	1
257	purpolepickle	1
257	M_Patata	1
257	TakeThis2UrGrave	1
257	Arceus1975	1
257	Donutt	1
257	audiocracked	1
257	NoChumpChange	1
257	Darkgon	1
257	cog	1
257	TheMiddayMoon	1
257	Spacewardharpy7	1
257	__tomato	1
257	Luigipunch989	1
