rank	username	minecraft:used/minecraft:mushroom_stem
1	thewindmillman	6700
2	PlasticOtari	5211
3	YungMaki	3019
4	joethahobo	1568
5	Frozil12	1564
6	Kowcio_	857
7	burbankbuilder28	679
8	PortlyPete69	668
9	pintsizedrogue	618
10	oxfordschool	441
11	Rumpletaezer	403
12	Werbe	351
13	Smoke____	235
14	ApophisNova	233
14	MyNamaSheff	233
16	Soplight	193
17	EMC_	140
18	CoffeeNoir	96
19	ImpavidArcher	79
20	regulator75	75
21	diggydog67	73
22	noam464	70
23	Xclax101	63
24	titanlax	62
25	kekhon	59
26	Blaiku	58
27	KingMatthew506	57
28	MyNameIsDakar	55
29	Mahoose	43
30	_stets	36
31	AuroraValkyrie	34
32	500am	33
33	beeleg	32
34	Di_infiri	30
35	XxCookiequeenxX	29
36	EveryonesUncle	26
37	Rebytre	18
38	NameGenerat0r	15
39	Blackberry1310	14
40	ShedJr_	12
40	lordpipe	12
42	Chromary	11
43	claivin	10
43	MightyWertu	10
43	Steelynan	10
46	Jiminie	9
46	MakeHistory157	9
48	Hyp3rion_	8
48	Lord_Jord	8
48	Enderslayerxz3	8
51	RobotMinion101	7
51	lcvezra	7
51	trexgb	7
54	12Magner05	6
54	Onennon	6
56	Incinere	5
56	Inbefour	5
56	ediballbearings	5
59	bigstankyy	4
59	KomputerDude	4
59	IAmTheWalrus910	4
59	pixelviolin	4
63	Historical_Sand	3
63	eclipseboi	3
63	jcool7	3
63	jnp_gaming	3
67	thescout7	2
67	Xalithia	2
67	gcaisawesome	2
67	Sky_light_KING	2
67	Deathkob	2
67	Freak_Genius	2
67	Spacewardharpy7	2
74	Hpdinosaur	1
74	Zippyzam	1
74	eitanzaki	1
74	H72l9w	1
74	xxPipperDipperxx	1
74	Maenara	1
74	HellsSponge	1
74	MovingFish7	1
74	Kyrum2169	1
74	Legendosh	1
