rank	username	minecraft:used/minecraft:polished_blackstone_brick_slab
1	12Magner05	14678
2	PigDab	13883
3	mwrty	13319
4	Winklepicker279	8095
5	noam464	6568
6	Freak_Genius	5765
7	himak1	4793
8	Blaiku	3836
9	gcaisawesome	3811
10	Lord_Jord	2972
11	beeperbeeper5	2685
12	EveryonesUncle	2629
13	YungMaki	2556
14	SkateboardR6	2531
15	rarrq	2218
16	Racengan	1921
17	burbankbuilder28	1090
18	pintsizedrogue	997
19	Legendosh	916
20	eitanzaki	899
21	PlasticOtari	673
22	Eraxa	661
23	MSK__	528
24	Werbe	494
24	AssEatrAndLicker	494
26	Spacewardharpy7	466
27	ImpavidArcher	457
28	kekhon	423
29	nataliecool	416
30	Fullut	279
31	Smoke____	256
32	6king6colt6	247
33	Frozil12	246
34	MyNameIsDakar	243
35	egglapras	229
36	Decaying_Lotus	227
37	Shogunite	216
38	r123moore	201
39	Di_infiri	199
40	_Boipl_	193
41	EcksD	177
42	oxfordschool	172
43	Jiminie	171
44	Blackberry1310	167
45	YungJakobo	154
46	TheSecondLord	136
46	Snowflowe	136
48	Awyrlas	131
49	set67	125
50	500am	123
51	djancak	118
52	RebelAndroid	111
53	Enderslayerxz3	110
54	gustarbite	70
55	ShedJr_	69
56	Hermanni__	67
57	CalebDHawk	65
58	Kubeusz2010	59
59	thewindmillman	51
60	PortlyPete69	49
61	DanTheBuilderino	47
62	KarlKaek	46
63	soundad	42
64	Cowison	40
65	Yatitay	38
65	ApophisNova	38
65	MyNamaSheff	38
68	joethahobo	36
69	Ezekson	35
70	jacxhadow	27
71	Deathkob	20
72	Mahoose	18
73	Meme25327	17
74	MinttyFressh	16
75	breadbowlgamer	13
75	sp00ky_ghost977	13
75	Eczbek	13
78	TheShyPig	11
78	Akoot_	11
80	Hpdinosaur	9
81	CliffEmAll	8
81	Zythose	8
83	Eon_57	6
84	BobDeBouwer1337	5
84	GlitchMixed	5
86	Rebytre	4
87	MineMaster0012	3
88	Historical_Sand	2
88	ooga47	2
88	ogoa	2
88	TheTommyGun63	2
92	hm947	1
92	Myszoaz	1
92	M_Patata	1
92	Leonidas2k17	1
92	KnightmareD	1
92	lillips	1
92	monky_irl	1
92	MasterNueve	1
92	Razzgriz	1
92	sadvavilloso	1
92	GlitchyPlate810	1
92	Kferno	1
