rank	username	minecraft:used/minecraft:polished_diorite_stairs
1	burbankbuilder28	1749
2	Lord_Jord	1178
3	Marbz_	959
4	Hoid_the_Roamer	690
5	AltnumberF4	648
6	Legendosh	635
7	seanitoo	491
8	RedcatVII	438
9	Inbefour	416
10	Winklepicker279	367
11	Teebone15	350
12	Maenara	347
13	Ezekson	343
14	PlasticOtari	342
15	Lukeee33	323
16	Kubelz	308
17	jacxhadow	261
17	luseis	261
19	Jovaphobic	255
20	MrExplorer	240
21	Darkgon	236
22	Groovy_MoonBird	225
23	HellsSponge	215
24	Jaka_Saurus_715	203
25	MattieHD	185
26	_Huge_Male_	179
27	pappaberg	178
28	ImpavidArcher	176
29	m_be9	155
30	andy_rex	153
31	rarrq	147
32	_Karmaa	145
33	titanlax	130
33	Stiar	130
35	Auseawesome	126
35	Megarboh	126
37	Jokerman369	118
38	JESS_THE_RERE	111
39	kekhon	107
39	Werbe	107
39	Deerfoot	107
42	Shogunite	102
43	Optiprimus	87
44	LittleBug562	86
44	CalebDHawk	86
46	vandmanden	74
47	Matorz	71
48	Merv__	67
49	oreee	65
49	07shiny	65
51	Cowison	58
51	Arceus1975	58
53	KarlKaek	57
53	valkam13	57
55	Comma__	53
56	ATrojansLegend	49
57	noam464	48
58	himak1	47
59	Moofyman	46
60	ReflexCode	45
61	Western_1	44
62	Vellu21	43
63	Blu3beast	42
64	beeperbeeper5	41
65	dnlksl	39
66	Froste131	38
66	Allanon1235	38
66	lillips	38
69	Akoot_	36
70	slkiey	34
71	Frozil20	32
72	Fuhrer_Teemo	31
73	DanTheBuilderino	30
74	Mookle96	29
74	Nekomin0	29
76	Mahoose	27
77	joethahobo	26
77	Xalithia	26
79	FazeObama69	24
79	TheShyPig	24
81	Kowcio_	23
82	ShedJr_	22
82	KlausVonStiglitz	22
84	YungMaki	21
85	Ssor69	20
85	Jeteight	20
87	Onennon	19
87	tsitrawhy	19
89	rats_life	18
89	Tolhart	18
89	Ajax6	18
92	AlphaWolfPlaysMC	17
93	SyK7	15
93	MineMaster0012	15
93	SSytex_X	15
93	EcksD	15
93	bladeefan2009	15
93	JayToe	15
99	NarwhalTaco	14
99	DarlaMeow	14
99	trexgb	14
102	LeauVox4921	12
102	hayybails	12
102	MyNameIsJobo	12
102	The_Fulgurator	12
102	ooga47	12
107	fluddd	11
107	Toriankel	11
107	lordpipe	11
110	teslawolf38	10
110	SaucyDark	10
110	ROY4LE	10
110	fkGrim	10
110	Enderxz3	10
115	FlashMigma	9
116	SaintJosie	8
116	MilleGrug	8
116	Smoke____	8
119	TheWildMateo	7
119	ougstur	7
119	Racengan	7
119	Dreamdbr14	7
119	mobunni	7
124	ratglock	6
124	tortillatitan	6
124	TheDankPlatypus	6
124	killmeiamtraitor	6
124	420BreadLizard	6
124	NoChumpChange	6
124	Eraxa	6
124	starbits140	6
132	tramizu	5
132	12Magner05	5
132	bpmm	5
132	Soplight	5
136	Mr_Byzantine	4
136	Blackberry1310	4
136	seramalen	4
136	eSpawNa	4
136	Photosynthesis_s	4
136	Moetis	4
142	gren_ben	3
142	ThiccExotic	3
142	Cryptacity	3
142	eclipseboi	3
142	Purplehere	3
142	Chromary	3
142	Meatlaugh	3
149	Prodiginus	2
149	_Dean_123	2
149	F_Uhre	2
149	Cyntrical	2
149	Hermanni__	2
149	diggydog67	2
155	q_wq	1
155	eitanzaki	1
155	T045RTY	1
155	Lez_	1
155	Ardennes	1
155	thescout7	1
155	benediktine1	1
155	BlueZabu	1
155	Di_infiri	1
155	Blamphe	1
155	The_slideV3	1
155	cog	1
155	Spacewardharpy7	1
155	xolstoi	1
155	calamariclam_I	1
