rank	username	minecraft:used/minecraft:pumpkin_seeds
1	Blaiku	1695
2	Di_infiri	1081
3	diggydog67	708
4	Spacewardharpy7	568
5	Hyp3rion_	492
6	T045RTY	488
7	Smoke____	478
8	bigstankyy	474
9	HellsSponge	366
10	noam464	357
11	eitanzaki	271
12	nonarso	233
13	teslawolf38	224
14	Comma__	216
14	Jackattack53	216
16	pintsizedrogue	215
17	Blackberry1310	213
18	Fast_Turtle	191
19	CharlieButt	175
20	starbits140	147
21	THEKINGLyric10	146
22	m_be9	143
23	NormanFetus	132
24	CoffeeNoir	129
24	El_Jalapeno	129
26	beeperbeeper5	124
26	FreakGenius	124
28	joethahobo	123
29	Lez_	107
30	luseis	106
31	Akoot_	104
32	SpacesickPrism	99
33	Kakolbus	97
34	Inbefour	96
35	H72l9w	95
36	fffMike	94
37	Mewar	91
38	pixelviolin	89
39	Voxin2K	86
40	KarlKaek	85
41	Tolhart	84
41	TechnoNinja64	84
43	youhjjhhhjj	83
44	Historical_Sand	82
44	YungMaki	82
46	Jimb0nat0r	81
47	MyNameIsJobo	80
47	Skylord_Luke	80
49	TheShyPig	79
49	EngagedGrub41	79
51	The_slideV3	77
52	slkiey	76
52	Katsuragi0243218	76
54	Rumpletaezer	75
55	6king6colt6	74
55	JayToe	74
57	Snowflowe	72
58	kekhon	68
58	Hiryu27	68
58	AuroraSkies	68
61	MightyWertu	62
62	Barlycorn	59
62	monky_irl	59
64	openatheclose	57
64	PigDab	57
64	HesDemonPants	57
67	SlayerCrypto	56
68	Killercatty78	54
69	CarltheCuck	52
69	__tomato	52
69	Luigipunch989	52
72	Xalithia	50
73	StinkyDiplomat	49
74	SvenskaSara	48
75	Soplight	46
76	CrateOfBoxes	44
77	seramalen	43
78	F_Uhre	40
79	UrbanPlanningEx	39
80	Mr_Byzantine	38
81	Cowison	36
81	Sheldor097	36
83	Xclax101	34
83	SSytex_X	34
85	Maenara	32
85	RoofTyler	32
87	PegLegPete93	31
87	SuperPooch06	31
89	soundad	30
89	Fakiuss	30
89	DTwenty	30
89	OffWithTheirHead	30
89	Legendosh	30
94	Cortexia	29
94	rotten_mango	29
96	Ganongeek	28
96	Kynigito	28
96	stellarjay	28
99	thewindmillman	26
99	DarlaMeow	26
99	Cocoamallows	26
102	leaf26	25
102	xxPipperDipperxx	25
102	ApophisNova	25
102	MyNamaSheff	25
102	PlasticOtari	25
107	RebelAndroid	24
107	ShedJr_	24
107	Kubelz	24
107	sp00ky_ghost977	24
107	FishisTTV	24
112	Jimi7hits	23
112	cytotoxaint	23
114	PortlyPete69	22
115	CliffEmAll	21
115	jacxhadow	21
115	Pickel_Lord	21
115	OfficerAnvil	21
119	Hyugo	20
119	sandmire	20
119	DermeinUser	20
119	ItsAki_	20
119	BRRRN179	20
119	Joestra	20
119	MustaLoordi	20
119	Apicomplexa	20
119	Ezekson	20
128	whoaluv	19
128	grislgrobl	19
128	00000000-0000-0000-0009-01ff0c3e5e4f	19
131	HollieDaNugget	18
131	livingdaydreams	18
131	legal_tax_evader	18
131	djancak	18
131	Njensen7	18
136	Motsaro	17
136	Werbe	17
136	Leyna3	17
136	Powowowow	17
140	RoskobiOne	16
140	Ozixar	16
140	jushykins	16
140	TerraVl	16
140	AlexStrange	16
140	legoclone09	16
146	ImpavidArcher	15
147	RatatJuice	14
147	bloodbiter	14
147	wiqor	14
147	Ze_BaronKrigler	14
147	PabloGonza02	14
152	Batoser	13
152	roxycherry	13
152	Silvo614	13
152	ReflexCode	13
152	robotemo	13
152	LeeMcGee30	13
158	DinoDoctor_	12
158	Natty	12
158	crying_wolf_13	12
158	Dali1465	12
158	Zythose	12
158	MangoTheFish	12
158	KillerNekoRain	12
158	ComplexSquirrel	12
158	07shiny	12
158	bloomkieren	12
158	Eczbek	12
169	Zaridey	11
169	stuy9	11
171	rats_life	10
171	Mahoose	10
171	Fullut	10
171	platinumzero	10
171	nitram49b	10
171	cedric72	10
171	claivin	10
171	Typadopoulos	10
171	Shin69	10
171	jcool7	10
171	jnp_gaming	10
182	Bandito_Roamer	9
182	ThiccExotic	9
182	TinMaster	9
182	dopplexd	9
182	titanlax	9
182	Gingayy	9
182	The11thDoctor	9
182	natajimi	9
182	Drawgirl	9
182	Skippeh	9
192	The_Thund	8
192	abramgray	8
192	ehunt54	8
192	NarwhalTaco	8
192	Bumpy419	8
192	Moofyman	8
192	CaptainAvenger7	8
192	victorLIE	8
192	Deathkob	8
192	KlausVonStiglitz	8
192	Hisiste	8
192	lilguppy	8
192	Jij0	8
192	lcvezra	8
206	SaucyDark	7
206	DarkFisto	7
206	eviltunix	7
206	MustardDrinker	7
206	GigaSl	7
206	Soul_Atreus	7
206	Western_1	7
206	Rainaldus	7
206	Haadrada	7
215	FirsTimeGamingTV	6
215	ashetrays	6
215	Windo_licker	6
215	AJplaysMC_	6
215	_bruhhhhh	6
215	aldplaysmc	6
215	Toriankel	6
215	Glumb0	6
223	KomputerDude	5
223	Prismyst	5
223	lordofthelight95	5
223	CrookedKaptain	5
223	ooga47	5
223	KeruNatsema	5
223	ILoveCarrot	5
223	cog	5
231	Alexanderjac	4
231	Matemax	4
231	NatalieTW	4
231	Tommhh	4
231	Big_Bad_Will	4
231	Cats_Fly	4
231	ChampPog_	4
231	chlorinex	4
231	SharpDev	4
231	NoxxxxiS	4
231	LitoDelvito	4
231	pumpfonzo	4
231	Ecplosive	4
231	corpsecity	4
231	Rocco_Lane	4
231	Muffindrake	4
231	selectrix	4
231	RobotMinion101	4
231	H_O_M_H	4
231	Blamphe	4
231	Toowny	4
231	JESS_THE_RERE	4
231	BumbleBeever	4
231	markaus77	4
231	lordpipe	4
231	WyngGoy	4
231	LordSpeed37	4
231	kyouma777	4
231	_Tilariel_	4
231	CoryJJ	4
231	mobunni	4
231	RadarHz	4
231	smogfrog	4
231	QueenOfDirt	4
231	xolstoi	4
231	Yahrto	4
231	Freedrik	4
268	Jalvajar	3
268	dudcreeper	3
268	PazinGaming	3
268	BigBootyHudge	3
268	I_Am_Mushkin	3
268	No_u4	3
268	Malorn_Aetherius	3
268	firesgal3116	3
268	PlasmaElk	3
268	Kouridragon	3
268	sufjanlover	3
268	Dusk_95	3
268	Shadow4381	3
268	sleepdrifter_	3
268	Corran_Dahgus	3
268	jaimshae	3
268	youarefrench_	3
268	Enderxz3	3
286	MattieHD	2
286	AngalexikCZ	2
286	set67	2
286	UncreativeArtist	2
286	thescout7	2
286	SolicitedPuma101	2
286	KermitTheKripple	2
286	Vegvisir	2
286	Ripzch	2
286	MineMaster0012	2
286	UCP_TheKingK	2
286	_TCARREIRA_	2
286	TheALV	2
286	striker90333	2
286	switch1e	2
