rank	username	minecraft:used/minecraft:red_shulker_box
1	TheSecondLord	2438
2	Zythose	1412
3	Mahoose	978
4	Eraxa	755
5	thescout7	558
6	MilleGrug	509
7	Snowflowe	477
8	beeperbeeper5	470
9	YungMaki	452
10	HellsSponge	427
11	Fullut	364
12	Jovaphobic	359
13	BumbleBeever	353
14	CoffeeNoir	345
15	lordpipe	289
16	Quincannon	283
17	Freak_Genius	280
18	claivin	264
18	Blaiku	264
20	Smoke____	236
21	Awyrlas	223
22	Ezekson	220
23	noam464	216
24	Sky_light_KING	201
25	eitanzaki	191
25	Soap_Bender	191
27	NameGenerat0r	188
28	OtariCharlie	184
29	m_be9	183
30	Blackberry1310	180
31	TheEnderman548	178
32	XboxPanda	176
32	EveryonesUncle	176
34	Groundler	175
35	SaucyDark	173
35	2Stout	173
37	set67	170
38	Bumpy419	166
39	Bandito_Roamer	165
40	500am	161
41	kekhon	153
42	mwrty	150
43	Hyp3rion_	149
44	EcksD	145
45	r123moore	143
45	Spacewardharpy7	143
47	CSG_Haru	139
48	pintsizedrogue	138
48	Zaridey	138
50	TheDankPlatypus	134
51	Fuhrer_Teemo	132
52	stahouo	125
53	Merv__	121
54	thewindmillman	119
54	Akoot_	119
56	6king6colt6	118
57	oxfordschool	116
58	Xalithia	110
58	Fizznut909	110
60	Lord_Jord	108
60	Spenduh	108
60	obzii	108
63	_Nuf	107
64	Kowcio_	103
64	jnp_gaming	103
66	PortlyPete69	102
67	Skylord_Luke	101
68	rarrq	100
69	DemTechAlpha	98
70	Jackattack53	91
71	sp00ky_ghost977	88
72	gabriels543	84
73	sebastiensaborio	80
74	Historical_Sand	77
74	Deathkob	77
74	alderban107	77
77	Ecplosive	73
77	chipklip	73
79	SingedBread	71
80	Hoid_the_Roamer	68
80	TheSeismicDuck	68
82	Inchef	67
82	MightyWertu	67
84	Enderslayerxz3	66
85	Ailmast	65
85	Natty	65
85	YungJakobo	65
85	Chromary	65
89	Dedalus36	64
89	cedric72	64
89	Blu3beast	64
92	MovingFish7	62
93	HesDemonPants	61
94	joethahobo	60
95	TheShyPig	58
96	eviltunix	57
97	Eczbek	56
98	ImpavidArcher	55
98	Kakolbus	55
98	Nycteus_	55
98	Dreamdbr14	55
102	Airem_Core	54
102	Dogcorn69420	54
102	kinas45y5	54
105	TheTrueClipse	53
106	pixelviolin	52
107	PhantomsGhost_	51
108	_Virify_	50
108	lillips	50
110	ProfessorBee	49
110	Kijiki	49
110	GlitchyPlate810	49
113	Auseawesome	47
113	Hisiste	47
113	stellarjay	47
116	bloodbiter	46
116	h2p_emrld	46
118	ssleepless	45
118	Frozil12	45
120	SammiWolfGirl	44
121	ZeroKraken	40
122	EMC_	39
123	xxPipperDipperxx	38
124	MangoTheFish	37
124	Werbe	37
124	Jamstroxian	37
124	AssEatrAndLicker	37
128	teslawolf38	36
128	DarlaMeow	36
128	lcvezra	36
131	fr0stss	35
132	Rich_Kat	34
133	_Karmaa	33
134	whoaluv	32
134	Legendosh	32
134	Sral7	32
137	SpaceGrenadier	31
137	_3Stump_	31
139	JEWISHBadenBeele	30
139	SkateboardR6	30
141	Lukeee33	29
141	Razzgriz	29
143	RadarHz	28
144	awesomeoneme	27
144	gcaisawesome	27
144	Sheldor097	27
147	Arteriana	26
147	1442	26
147	Njensen7	26
150	DTwenty	25
150	WyngGoy	25
152	soundad	24
152	diamondgolem35	24
152	_Dean_123	24
152	_Bguette_	24
152	monky_irl	24
152	IdeallyGrey	24
152	brofrickcheaters	24
152	_TCARREIRA_	24
160	Donutt	23
160	Warlord324	23
160	Soplight	23
163	MSK__	22
163	pappaberg	22
163	PigDab	22
163	Hermanni__	22
167	mariominejedi	21
167	Bloo2406	21
167	KG1999	21
167	Nicserso	21
171	12Magner05	20
171	KartivGal	20
171	07shiny	20
174	ShedJr_	19
174	shyshyannne	19
174	ApophisNova	19
174	FishyBoy3811	19
174	Jiminbub	19
174	Shogunite	19
174	KingMatthew506	19
174	MyNamaSheff	19
