rank	username	minecraft:used/minecraft:redstone_torch
1	joethahobo	29411
2	Spacewardharpy7	16578
3	thewindmillman	11887
4	noam464	7122
5	lordpipe	3762
6	thescout7	3163
7	HellsSponge	3130
8	Di_infiri	2779
9	Smoke____	2575
10	eitanzaki	2549
11	beeperbeeper5	1685
12	Xclax101	1656
13	ProfessorBee	988
14	EMC_	976
15	m_be9	969
16	EcksD	904
17	Soplight	884
18	Freak_Genius	862
19	Blaiku	856
20	pintsizedrogue	801
21	Hyp3rion_	790
22	Jackattack53	784
23	El_Jalapeno	718
24	Fuad_R	668
25	MyNameIsJobo	633
26	YungMaki	576
27	SteveCraftBlocks	573
28	slkiey	567
29	Franco093	554
29	Eraxa	554
31	MattieHD	542
32	fffMike	525
33	TheSeismicDuck	522
34	Eczbek	520
35	Kakolbus	518
36	Zythose	514
37	TechnoNinja64	496
38	Groundler	486
39	bigstankyy	482
40	PigDab	464
41	Werbe	460
42	_Nuf	443
43	Cowison	428
44	Akoot_	412
45	TheShyPig	410
46	Racengan	388
47	T045RTY	387
47	kekhon	387
49	_Karmaa	384
50	vandmanden	333
51	Skippeh	329
52	Ezekson	324
53	Inbefour	319
54	Marbz_	317
55	Steelynan	302
56	MightyWertu	298
57	kyouma777	296
58	Vorlice	288
59	12Magner05	274
60	DanTheBuilderino	273
61	Comma__	270
62	Warlord324	266
63	Mahoose	253
63	500am	253
65	Skylord_Luke	249
66	SSytex_X	248
67	Jimi7hits	246
68	Deathkob	245
69	ApophisNova	244
69	MyNamaSheff	244
71	sp00ky_ghost977	243
72	MangoTheFish	242
73	CruncyIsTaken	240
74	Frozil20	238
75	Blu3beast	227
76	xxPipperDipperxx	225
77	WyngGoy	212
78	PhantomsGhost_	210
79	Onennon	204
80	_Virify_	200
81	Dedalus36	196
82	IAmTheWalrus910	195
83	The_slideV3	190
84	LilyNova	189
85	Awyrlas	188
86	burbankbuilder28	183
87	domagawha	182
88	Bumpy419	179
89	audiocracked	177
90	ssleepless	176
91	picardred	173
92	ImpavidArcher	172
93	Historical_Sand	171
94	Menthas	169
94	r123moore	169
96	Hiryu27	167
97	07shiny	163
97	Legendosh	163
99	Typadopoulos	162
100	Ssor69	160
101	Bandito_Roamer	159
101	SaucyDark	159
101	jnp_gaming	159
104	rarrq	158
104	Arceus1975	158
104	PlasticOtari	158
107	Skomo	157
107	Dusk_95	157
109	PortlyPete69	148
110	oxfordschool	147
111	Swexti	142
111	Aryamanee	142
113	chipklip	141
114	Ev0luti0nz	140
115	Enderslayerxz3	138
116	iHuntWeeaboos	137
117	Lord_Jord	134
118	lcvezra	132
119	masskedman	131
120	Jovaphobic	129
121	pixelviolin	128
122	EngagedGrub41	127
123	HesDemonPants	126
124	MilleGrug	124
125	cedric72	122
126	Fildyr	121
126	BlankityMcBlank	121
128	StinkyDiplomat	120
129	jacxhadow	119
130	Quotary	118
131	Prismyst	117
131	Fullut	117
133	Barlycorn	115
133	EcksDofficial	115
135	Da_Boss_Rani	113
135	Rasmanden	113
135	Maenara	113
138	Shogunite	111
139	Darkgon	109
139	ediballbearings	109
141	Rumpletaezer	107
142	SvenskaHugo	106
143	gcaisawesome	104
143	starbits140	104
145	_Bguette_	103
146	chimpmunker	102
147	tuckerdoodle	101
147	Alteriity	101
147	BumbleBeever	101
147	Hisiste	101
151	CrateOfBoxes	100
152	KG1999	96
153	RebelAndroid	95
153	WET_WET_WET	95
153	Kouridragon	95
156	Jordan_R	94
157	DAD_1996	93
158	Snowflowe	92
158	Syropatathe	92
158	Rainaldus	92
161	Powowowow	91
162	Jiminie	88
163	Paintz	85
163	tsitrawhy	85
165	OfficerAnvil	84
166	mwrty	83
166	Covalents	83
168	Spenduh	80
169	abramgray	79
169	ShedJr_	79
169	NieToksikpl	79
169	Nycteus_	79
173	prizm_	77
173	RobotMinion101	77
173	__tomato	77
176	ivorico	76
176	UltraZombie	76
178	AnnieBathory	75
178	fluddd	75
180	seanitoo	74
180	awesomeoneme	74
180	Inchef	74
180	censorsheep	74
184	Strangemonkey71	73
184	Segotep999	73
186	obzii	72
187	Motsaro	71
188	ROY4LE	67
188	Wanjibon	67
190	FishyBoy3811	66
190	kinas45y5	66
192	Rich_Kat	65
192	Doom_melon	65
194	NotMeanttoChange	64
194	mariominejedi	64
194	CarltheCuck	64
194	Moofyman	64
198	andy_rex	63
198	NameGenerat0r	63
200	soundad	62
200	Euclidoris	62
200	TheSecondLord	62
200	NATE_the_HALO	62
204	Th6masss	61
205	BronkerBrum	60
205	The_SlideV5	60
207	diamondgolem35	59
208	Blackberry1310	58
208	SpacesickPrism	58
210	tobinwilliams	57
211	q_wq	56
211	groofles	56
213	sufjanlover	55
214	Houstonion	54
214	wwwwinnebagoooo	54
216	SellyZ	53
216	FreddyFart	53
216	EveryonesUncle	53
216	djancak	53
220	eiC_	52
220	SlayerCrypto	52
222	eviltunix	51
222	TheDankPlatypus	51
222	non089	51
222	cichy096	51
226	wezzzi	50
226	Conrad139	50
228	Arteriana	49
228	Scathra	49
228	jcool7	49
231	ProbsNotNova	48
231	Hermanni__	48
231	anbbang	48
234	Ozixar	46
235	lotarp	45
235	TheThomas69	45
235	stellarjay	45
238	theonlymagikarp	44
238	AuroraSkies	44
240	RustyKedel	43
240	Drewen24	43
242	Groovy_MoonBird	42
242	InfernalMound	42
242	claivin	42
242	Moetis	42
242	tartanboy	42
247	Nicserso	41
247	Sral7	41
249	Luigipunch989	40
250	CalebDHawk	39
251	Prodiginus	38
251	set67	38
251	Soap_Bender	38
254	heckface	37
254	ooga47	37
254	KingMatthew506	37
257	Ryker	36
257	SharpDev	36
257	BlueZabu	36
257	Ecplosive	36
257	Nyxiom_	36
257	ese_wn_po	36
257	lillips	36
264	Hoid_the_Roamer	35
264	Lutres_Torane	35
264	GravitySaint	35
267	teslawolf38	34
267	loveseeker	34
269	Touched_Bread	33
269	Kyrum2169	33
269	Winston_Ingram	33
269	mawileite	33
269	Njensen7	33
269	alderban107	33
269	VentiHilton	33
276	Ardennes	32
276	egglapras	32
276	seramalen	32
279	himak1	31
279	Stiar	31
279	mihimihimihi	31
279	AltnumberF4	31
279	Zoeyfortnite	31
279	FishisTTV	31
285	GingerNeutron	30
285	Kubelz	30
285	Chromary	30
285	SingedBread	30
289	Incinere	29
289	Nicky_H225	29
289	SuperPooch06	29
289	Soul_Atreus	29
289	RoboTramp7865	29
294	Lez_	28
294	Winklepicker279	28
294	ayamefag	28
294	smogfrog	28
298	bloodbiter	27
298	MakeHistory157	27
298	2blox	27
