rank	username	minecraft:used/minecraft:smooth_quartz_slab
1	wwwwinnebagoooo	8437
2	Ezekson	7815
3	noam464	5290
4	Hyp3rion_	3594
5	lordpipe	3261
6	Di_infiri	2512
7	lillips	2452
8	pintsizedrogue	2215
9	ImpavidArcher	2039
9	Eraxa	2039
11	NameGenerat0r	1914
12	Blaiku	1899
13	Mahoose	1632
14	Freak_Genius	1391
15	YungMaki	1308
16	beeperbeeper5	1047
17	jnp_gaming	1035
18	Merv__	1030
19	Sral7	1001
20	joethahobo	932
21	kekhon	917
22	Marbz_	910
23	NotMeanttoChange	903
24	Deerfoot	822
25	eitanzaki	813
26	Spacewardharpy7	721
27	himak1	659
28	Fuad_R	644
29	SammiWolfGirl	640
30	FishyBoy3811	639
31	Frozil20	567
32	EcksDofficial	507
33	MightyWertu	491
34	Blackberry1310	444
35	EveryonesUncle	424
36	TheSecondLord	393
37	AltnumberF4	368
38	The_slideV3	304
39	EMC_	279
40	m_be9	271
41	Lord_Jord	268
42	Skylord_Luke	240
43	Snowflowe	212
44	PigDab	192
45	__tomato	174
46	fluddd	171
47	KG1999	153
48	Mattesco	146
49	ABUSNA1996	143
50	The_SlideV5	129
51	Kubeusz2010	123
52	LexMakesHistory	121
53	r123moore	107
53	Lutres_Torane	107
55	oreee	106
56	Chromary	97
57	AuroraValkyrie	87
58	EcksD	84
59	mihimihimihi	72
60	Lez_	66
61	rarrq	63
62	Touched_Bread	57
62	Steelynan	57
64	ApophisNova	51
64	MyNamaSheff	51
66	MakeHistory157	47
67	Soplight	46
68	Inbefour	42
69	cedric72	35
70	_Karmaa	34
71	Onennon	31
71	mobunni	31
73	PlasticOtari	26
74	SingedBread	24
75	_Dean_123	22
76	CalebDHawk	18
77	ooga47	16
78	paranoid_plant	15
78	M_Patata	15
78	MasterNueve	15
81	SuperPooch06	14
82	RodSerlingCringe	13
83	Prismyst	12
83	Blu3beast	12
83	Enderslayerxz3	12
86	stavgod	11
87	ColeSnyder	10
87	500am	10
87	Fullut	10
87	NomadicRobin_	10
87	iSammael	10
92	Arceus1975	7
92	UCP_TheKingK	7
94	Smoke____	6
95	Jackattack53	5
95	Akoot_	5
97	hm947	4
97	thescout7	4
97	Zythose	4
97	fw3xywashere	4
101	MSK__	3
102	Rebytre	2
102	masskedman	2
102	iHuntWeeaboos	2
102	TheTommyGun63	2
102	Spenduh	2
102	jcool7	2
102	cichy096	2
109	Historical_Sand	1
109	Awyrlas	1
109	Bucscw24	1
109	TheWildMateo	1
109	HolyVenom	1
109	binman420	1
109	PartyPhoenix	1
109	Steven1282598	1
109	stahouo	1
109	Legendosh	1
109	TechnoNinja64	1
