rank	username	minecraft:used/minecraft:stripped_dark_oak_wood
1	Manaateee	2905
2	EveryonesUncle	2309
3	Mahoose	769
4	rarrq	552
5	Mattesco	431
6	Zythose	380
7	pintsizedrogue	271
8	Jakobo1337	235
9	CalebDHawk	226
10	500am	217
11	ConnorDanky_	216
12	M_Patata	209
13	Shogunite	199
14	Werbe	197
15	Kowcio_	156
16	Reneedium	154
17	RebytreGT	138
18	Merv__	133
19	ShedJr_	107
20	MasterNueve	105
21	ExtraDumb	100
22	_Cloverbelle_	79
23	Sheldor097	77
24	Steelynan	73
25	xxPipperDipperxx	66
26	beeperbeeper5	53
27	skitzxo	48
28	pixelviolin	44
29	Snowflowe	43
30	ImpavidArcher	31
31	Marbz_	28
31	Leyna3	28
33	seramalen	24
33	Olib3ar	24
35	kekhon	23
36	SingedBread	20
37	PazinGaming	16
37	luseis	16
39	Eraxa	15
40	joethahobo	12
41	lordpipe	11
42	Alteriity	9
42	SpacesickPrism	9
44	Spacewardharpy7	8
45	Blackberry1310	7
45	oscminus	7
47	Mr_Byzantine	6
47	eitanzaki	6
47	YungMaki	6
50	Frozil20	5
50	rachcl	5
50	noam464	5
50	Hoid_the_Roamer	5
50	Soplight	5
50	jnp_gaming	5
50	PlasticOtari	5
57	Bandito_Roamer	4
57	Historical_Sand	4
59	Arceus1975	3
59	Lord_Jord	3
59	ReflexCode	3
59	Enderxz3	3
63	Sleek_Storm_721	2
63	Smashic	2
63	Kondzik2008	2
63	Akoot_	2
63	jcool7	2
68	MortimerGaming	1
68	mattybeewrapss	1
68	crashomon	1
68	MyNameIsJobo	1
68	yb0e	1
68	IamCL4SSY	1
68	_i_ERROR_i_	1
68	KingMatthew506	1
68	Ezekson	1
68	2blox_	1
68	Yamdalorian	1
68	TheWickedBird	1
