rank	username	minecraft:used/minecraft:sweet_berries
1	ShedJr_	12344
2	luseis	4165
3	Legendosh	2519
4	Mr_Byzantine	1843
5	SammiWolfGirl	1787
6	Felenov	1496
7	SuperPooch06	1389
8	kekhon	1285
9	_Boipl_	1251
10	Akoot_	1241
11	Luigipunch989	1190
12	ooga47	1186
13	NomadicRobin_	1053
14	Smoke____	1052
15	jnp_gaming	1033
16	Ezekson	1028
17	Merv__	918
18	Blu3beast	911
19	Blackberry1310	897
20	CalebDHawk	815
21	bloodbiter	798
22	claivin	759
23	FreakGenius	750
24	crying_wolf_13	735
25	Ardennes	733
26	legal_tax_evader	722
27	Lez_	717
28	not_a_duck_23	713
29	TheShyPig	712
29	TechnoNinja64	712
31	KingMatthew506	682
32	Enderxz3	655
33	ItsColin11	623
34	PortlyPete69	621
35	SteveCraftBlocks	614
36	Hyp3rion_	611
37	SaintJosie	600
38	Killercatty78	593
39	nut_e	585
40	_Bguette_	584
41	xxPipperDipperxx	560
42	_stets	558
43	Sqwishy	533
44	jcool7	518
45	beeperbeeper5	505
46	TooManyDuck	474
47	thgrocks	453
48	drunkeeez	439
49	H72l9w	437
50	thewindmillman	430
51	pintsizedrogue	429
52	TheWildMateo	423
53	Hpdinosaur	399
54	ROY4LE	398
55	Arceus1975	396
56	Fullut	388
57	Eraxa	384
58	NoChumpChange	374
59	UncreativeArtist	369
60	valiSW	346
61	Swexti	344
62	2Stout	339
62	parodypatient	339
64	Rumpletaezer	336
65	MonitorLizards	334
66	WyngGoy	332
67	SyntheticSurgeon	314
67	Mahoose	314
69	PlasticOtari	287
70	SomeWanderer	282
70	lcvezra	282
72	shadowthemonkey	274
73	The_slideV3	267
73	mediumBev	267
75	joethahobo	266
76	burbankbuilder28	264
77	Burge_r	255
78	out1s	246
79	bladeefan2009	238
80	ChampPog_	234
80	rotten_mango	234
82	iElijah	229
83	trexgb	228
84	sp00ky_ghost977	227
85	Optiprimus	223
86	AlphaWolfPlaysMC	218
86	Barlycorn	218
88	sandmire	216
88	wwwwinnebagoooo	216
88	NotMeowMix	216
91	PigDab	215
92	masskedman	212
93	JustinRee	208
94	aldplaysmc	205
94	balin55	205
96	T045RTY	203
97	Cocoamallows	200
98	CharlieButt	190
98	Xclax101	190
100	HellsSponge	185
101	Cats_Fly	184
101	DarlaMeow	184
103	KGTV	180
104	UrbanPlanningEx	177
105	ProfessorDiaper	176
106	jushykins	174
107	Groovy_MoonBird	172
108	SvenskaHugo	171
109	MyNameIsDakar	166
110	set67	165
111	ratglock	161
111	weabis	161
113	Moetis	158
114	ApophisNova	156
114	MyNamaSheff	156
116	PazinGaming	154
116	WYFYoyo	154
118	diggydog67	153
119	OG_Songsee	152
120	Kubelz	151
121	seramalen	149
122	fr_ser	148
123	ChrisKyleST3	146
124	_Dean_123	145
125	Smussa	144
126	500am	141
127	djancak	140
128	zorin123	138
129	ImpavidArcher	137
129	_havick	137
129	rarrq	137
129	Notta	137
133	xyct	134
133	lillips	134
135	livingdaydreams	132
136	BlancoFlaco	131
137	CoffeeNoir	130
137	Sheldor097	130
139	Kura2218	129
139	Corran_Dahgus	129
141	Shogunite	128
142	Prismyst	127
142	BobDeBouwer1337	127
144	MovingFish7	125
145	eitanzaki	124
145	TheMaster972	124
145	738b4f65-6cbd-4ead-ba31-c14211abfb06	124
148	BleachMyEyes	123
149	420BreadLizard	120
150	MightyWertu	119
151	SullivanNephew	118
152	tramizu	115
152	LordAurum	115
154	_themselves	114
155	NebulousBadger	112
155	Kubeusz2010	112
157	mariominejedi	109
158	EveryonesUncle	108
159	ManUtdBoy_	101
159	TerraVl	101
161	DirtyBoar	100
162	ori0le	99
163	Warlord324	98
164	Rebytre	97
164	07shiny	97
164	plato2066	97
164	hdtpm	97
168	Dreamdbr14	96
169	00000000-0000-0000-0009-01ff0c3e5e4f	95
170	ProfessorBee	94
171	ewsophie	93
171	iTurbo	93
171	c0la_c0ca	93
174	Sloths_Ender	92
175	Malorn_Aetherius	91
175	Studyhallsaver	91
175	Forcolp	91
175	Quincannon	91
179	zToasty69z	90
180	CuzIm2Kev	89
180	Skippeh	89
182	The11thDoctor	88
182	NameGenerat0r	88
182	StinkyDiplomat	88
182	Schlitzman	88
186	elicobnoah	86
187	Soplight	84
188	Louiis123	83
188	Yirtle	83
188	ElectricDragon81	83
191	squigglybones	82
191	Steelynan	82
193	JuuustYeet	80
193	CollinMH06	80
193	Di_infiri	80
193	Phoenix_Diacou	80
197	Wowful	79
198	Frozil20	78
198	Onennon	78
200	Historical_Sand	77
201	Octatrack	74
201	BruhBag	74
201	MADDMASTA	74
204	Quaintster	73
204	mihimihimihi	73
204	gnyW	73
207	Zlatovlas	72
207	Typadopoulos	72
207	EngagedGrub41	72
210	Bucscw24	70
211	Ev0luti0nz	69
211	Fakiuss	69
213	Anne_Primrose	68
213	SSytex_X	68
215	Krasnal1337	67
215	nitram49b	67
217	q_wq	66
217	sick_nubs	66
217	RefluxRatio	66
220	Awyrlas	65
220	F_Uhre	65
220	binman420	65
220	DTwenty	65
220	Flrffy	65
220	reaperface123	65
226	Mr_Gulle	64
226	SingedBread	64
228	dimitri0s	63
228	gusstationwerker	63
230	ItsRyanM8	62
230	Flucxks	62
230	Tkraack	62
233	_Karmaa	61
233	sleep444	61
233	FelixPSY375	61
236	BuildTheGondola	60
236	Freedrik	60
238	ElFi66	59
238	lordofthelight95	59
240	Hail_the_wombat	58
240	wezzzi	58
240	Deathkob	58
240	fluddd	58
244	Bandito_Roamer	56
244	_Huge_Male_	56
244	cheerytomato	56
244	MoistEggo	56
244	Zoeyfortnite	56
249	1ochi	55
250	soundad	54
250	SvenskaAlvar	54
252	ZaneABrain	53
252	m_be9	53
254	TheSecondLord	52
255	DarkLawD	51
255	obzii	51
257	Hamsanders	50
257	Tyrannosplart	50
257	Juh1s	50
260	Bobby808	49
260	Peeing	49
260	Bazongoman	49
260	anbbang	49
264	heckface	48
264	SvenskaSara	48
264	Shiirazu	48
264	Maenara	48
264	MirielThePastor	48
269	KomputerDude	47
270	Myszoaz	46
270	M_Patata	46
270	juuustpeachy	46
270	Voxin2K	46
270	Werbe	46
275	JohnnyMines	45
276	_Magdo_	44
276	LunarRedPanda	44
276	YungMaki	44
276	youarefrench_	44
276	xolstoi	44
281	_HoneySlime_	43
281	dj1121	43
283	6king6colt6	42
283	SpaceGrenadier	42
283	Nyxiom_	42
283	Mangolu	42
287	baboonlord400	41
287	Jakobo1337	41
287	MyNameIsJobo	41
287	SlayerCrypto	41
287	whoaluv	41
287	sammidk	41
287	lizardfightclub	41
287	sankrs	41
287	RealGroot	41
287	Bawbman	41
287	Powowowow	41
298	wiqor	40
298	eviltunix	40
298	Inbefour	40
