rank	username	minecraft:used/minecraft:torch
1	pintsizedrogue	55931
2	joethahobo	52937
3	Smoke____	46222
4	lordpipe	44583
5	gcaisawesome	44019
6	EMC_	41388
7	HellsSponge	40880
8	TheShyPig	36230
9	Zythose	27138
10	YungMaki	25811
11	Enderslayerxz3	23610
12	Mahoose	19377
13	beeperbeeper5	18436
14	Snowflowe	17840
15	Ezekson	17765
16	sebastiensaborio	17514
17	m_be9	17406
18	Skylord_Luke	16215
19	PhantomsGhost_	16066
20	Di_infiri	15788
21	Merv__	15757
22	EveryonesUncle	15570
23	Legendosh	15258
24	Natofthese	14053
25	El_Jalapeno	14018
26	oxfordschool	13454
27	Freak_Genius	13269
28	MyNameIsJobo	12895
29	Werbe	12684
30	AssEatrAndLicker	12674
31	Blackberry1310	11921
32	Bumpy419	11724
33	Spacewardharpy7	11304
34	Arceus1975	11170
35	Onennon	10853
36	Lord_Jord	10723
37	livingdaydreams	10708
38	thescout7	10666
39	kekhon	10638
40	Skippeh	10558
41	Zaridey	10368
42	CoffeeNoir	10156
43	Shogunite	10016
44	500am	9831
45	Miko_Fullbuster	9732
46	OtariCharlie	9683
47	burbankbuilder28	9650
48	Frozil12	9585
49	MightyWertu	9517
50	picardred	9374
51	TechnoNinja64	9243
52	eitanzaki	9080
53	awesomeoneme	9045
54	ProfessorBee	8795
55	PigDab	8765
56	Xclax101	8555
57	The11thDoctor	8554
58	Xalithia	8527
59	TheSecondLord	7990
60	himak1	7951
61	Hermanni__	7774
62	FishyBoy3811	7764
63	BobDeBouwer1337	7700
64	Euclidoris	7669
65	Fullut	7527
66	ApophisNova	7451
66	MyNamaSheff	7451
68	Vetral1	7411
69	Cowison	7400
70	Rumpletaezer	7332
71	thewindmillman	7232
72	_Dean_123	7090
73	Kakolbus	7058
74	cedric72	6991
75	Hyp3rion_	6983
76	Barlycorn	6972
77	PeteO1995	6927
78	KarlKaek	6909
79	Inchef	6872
80	Inbefour	6860
81	ImpavidArcher	6714
82	TheThomas69	6656
