rank	username	minecraft:used/minecraft:wooden_hoe
1	Shogunite	891
2	beeperbeeper5	767
3	AdmiralSmoke	592
4	Groovy_MoonBird	590
5	joethahobo	423
6	_stets	401
7	xolstoi	383
8	UMosDiesIrae	348
9	THEKINGLyric10	262
10	djancak	237
11	TheShyPig	217
12	Soplight	171
13	luseis	158
14	benediktine1	152
14	Enderxz3	152
16	Jackster03	149
17	Mr_Byzantine	148
18	Onennon	145
19	Leyna3	130
19	EveryonesUncle	130
21	Warlord324	126
22	bloodbiter	123
23	aldplaysmc	121
24	IamCL4SSY	120
25	shdesolt	118
25	wiqor	118
25	Dakar_	118
25	DkansK	118
29	Mimiir345	117
30	Pickel_Lord	115
31	I_Am_Mushkin	109
31	SHAOBADMAN	109
33	BumbleBeever	105
34	El_Jalapeno	104
35	Spacewardharpy7	103
36	Tobias0113	101
37	noam464	98
38	Merv__	97
38	DarkFisto	97
40	xxPipperDipperxx	96
41	eitanzaki	88
42	lordpipe	86
43	ExtraDumb	85
44	Sleepy_Time_	83
45	smarticuno	81
45	FishisTTV	81
47	Gryglu583	79
48	Blu3beast	78
49	Racengan	77
50	starbits140	74
51	Hahaa_0	73
52	Lord_Jord	69
52	Legendosh	69
54	Lord_Zacler	67
55	Malorn_Aetherius	66
56	Zee_zey	65
57	LordSpeed37	64
58	Jackattack53	62
58	IdeallyGrey	62
60	Fullut	61
60	Typadopoulos	61
62	xPixelRainx	60
62	SingedBread	60
62	YungMaki	60
62	momis24	60
66	EMC_	59
66	Kuragari_	59
66	Dnulgreb	59
66	o0z	59
66	ProfessorBee	59
66	Mariopreeet	59
66	Hashises	59
66	xFaiithyX	59
66	Fast_Turtle	59
66	Bumpy419	59
66	Invisie	59
66	Cattoh	59
66	Hail_the_wombat	59
66	kiluaemc	59
66	JESS_THE_RERE	59
66	HellsSponge	59
66	TheRoboSock	59
66	markaus77	59
66	Yoaty	59
66	Smiguli_	59
66	Kura2218	59
66	BlankityMcBlank	59
66	Drawgirl	59
66	gnyW	59
66	TechnoNinja64	59
66	ThatBurritoTh0	59
92	Cortexia	58
93	Ozixar	57
94	Parcc	56
95	AnnieBathory	55
96	Btabtab	54
96	LokisCharredFace	54
98	Lord_Doob	53
99	set67	52
99	SammiWolfGirl	52
101	Lez_	47
102	IAmTheWalrus910	45
103	Corran_Dahgus	43
104	little_dUki	42
105	Ristebraaten	41
106	PizzaJake	39
106	LuceImaginary	39
106	CaptainAvenger7	39
106	privatemeekly	39
106	mihimihimihi	39
111	Frozil20	37
111	ccwildfire1	37
113	Di_infiri	36
113	MAns_44	36
115	Segotep999	35
116	_Virify_	34
116	Shoutur1	34
118	Russiancat1	33
119	KillerNekoRain	32
120	Zenlou	31
120	Loooooc	31
122	AES784	30
122	Historical_Sand	30
124	_Minnty_	29
124	LeadenKey	29
124	Spenduh	29
127	Groundler	28
127	Moetis	28
129	duelcard	27
129	Simon_Lowell	27
129	CthulhusBodypilo	27
132	UnderKat	26
132	MyNameIsJobo	26
132	iTurbo	26
132	TitanCrafting	26
136	_Huge_Male_	25
136	Celeste_121	25
136	Devouching	25
139	teslawolf38	24
139	FirsTimeGamingTV	24
141	BigMoneyH	23
141	Baron_Belial	23
143	milkedit	22
143	ITDV	22
143	XboxPanda	22
143	M_Patata	22
143	oscminus	22
143	claivin	22
143	MasterNueve	22
150	Ilinca_Io	21
150	actuallysadie	21
150	Skylord_Luke	21
150	DukBob	21
154	jjettii	20
154	impossibleteapot	20
154	Kowcio_	20
154	Goat_Man512	20
158	Louiis123	19
158	CrateOfBoxes	19
160	pintsizedrogue	18
160	PhantomBionic	18
160	ABitOddish	18
160	CaptainSteve345	18
160	SirPiccardo	18
160	PortlyPete69	18
166	PeteO1995	17
166	Norrhede	17
168	Whiterooster001	16
168	Crasswolf	16
168	monky_irl	16
168	Nekomin0	16
168	Nargotah	16
173	07shiny	15
174	ImpavidArcher	14
174	legal_tax_evader	14
176	HAIRYCLOUD626	13
176	ReSynced	13
176	Avocadogerms	13
179	toastfetchd	12
180	DeeDeeThonk	11
181	Nach0Bear	10
181	PixelatedBoss	10
181	bothan13	10
184	UncleDanDan	9
184	JoeSaysBingBong	9
184	DTwenty	9
187	Mahoose	8
187	thewindmillman	8
187	Vegvisir	8
187	SpicyDuckMan	8
191	Covalents	7
191	Felenov	7
191	PlasticOtari	7
194	SuperPooch06	6
194	bee_gorl	6
194	AlexxO_o	6
194	rotten_mango	6
194	Methalox1	6
194	MineMaster0012	6
194	ProbsNotNova	6
194	Rahikeru	6
202	TrNrGhost	5
202	SSytex_X	5
202	UrbanPlanningEx	5
202	00000000-0000-0000-0009-01fa3caf2694	5
206	Myszoaz	4
206	c1ttyk4t	4
206	hcb238	4
206	Werbe	4
206	Wowful	4
206	MovingFish7	4
206	switch1e	4
213	SyK7	3
213	PhantomsGhost_	3
213	Napoleonpancake	3
213	__lizi	3
213	GooseWithin	3
213	robinkiller2002	3
219	Jovaphobic	2
219	bigstankyy	2
219	Blackberry1310	2
219	sandmire	2
219	masskedman	2
219	Promsiel	2
219	LetsDoItLive	2
219	legoclone09	2
219	lcvezra	2
219	2blox_	2
219	calamariclam_I	2
230	Nucket	1
230	RebelAndroid	1
230	KomputerDude	1
230	CoffeeNoir	1
230	ivorico	1
230	heckface	1
230	Otto_chan	1
230	TheSecondLord	1
230	MattieHD	1
230	Motsaro	1
230	ItzYaBoiPicard	1
230	Avrelion	1
230	ougstur	1
230	LibertyMutual	1
230	gustarlep	1
230	lillips	1
230	fluddd	1
230	Hisiste	1
230	monolu	1
230	FedirSpectator	1
230	BreadBacon	1
230	Nicserso	1
230	h2p_emrld	1
