rank	username	minecraft:used/minecraft:wooden_pickaxe
1	TheRealGameBoy24	839
2	E775	546
3	FennYuzuna	413
4	Smoke____	379
5	ImpavidArcher	332
6	aec9	295
7	Cattoh	287
8	firesgal3116	274
9	Akoot_	232
10	LordSpeed37	227
11	GravitySaint	222
12	Tenns	213
12	BlueZabu	213
14	El_Jalapeno	208
15	oxfordschool	202
16	jnp_gaming	199
17	Poppy235	186
18	djancak	185
19	RohnJosin	183
20	Blu3beast	179
21	Parcc	177
21	Shychelsoo	177
23	HellsSponge	175
24	KingMatthew506	166
25	sufjanlover	165
26	Blackberry1310	162
27	MrExplorer	152
28	Purplehere	151
29	eitanzaki	150
30	Kamflame10	147
31	Moetis	140
32	claivin	138
33	Prodiginus	121
34	ceAndy200	120
35	Chuvacevedo	119
36	BreadFruggis	118
36	CarltheCuck	118
36	regulator75	118
36	The_Skramz	118
36	BlankityMcBlank	118
36	TechnoNinja64	118
42	Warlord324	117
43	Zythose	116
44	Foof13	115
44	numbra	115
44	ABUSNA1996	115
47	not_a_duck_23	114
48	FirsTimeGamingTV	112
49	Nach0Bear	110
49	XeroByMyth	110
51	chipklip	108
52	Groovy_MoonBird	106
52	ChocolatePepsi	106
54	fred870d	105
55	QueenShuvi	102
56	Alphanzt99	101
57	lizardfightclub	100
57	VilsSwag	100
59	MeowMeowMcmuffin	97
60	Blaiku	94
61	DAD_1996	92
62	CueMix	91
62	Mocha_Mug	91
62	PortlyPete69	91
65	CoffeeNoir	90
65	kekhon	90
65	Peeing	90
65	Frozil12	90
69	Legendosh	88
70	libbydalez	87
71	Mahoose	85
72	zqw10k	81
72	elementorix	81
72	mimbo1211	81
75	n0qtrnL	80
76	imthatpikachu	79
77	hm947	78
78	beeperbeeper5	77
79	Di_infiri	76
80	LuceImaginary	74
81	_Virify_	73
81	I_Am_Mushkin	73
81	SkateboardR6	73
84	openatheclose	71
84	mattdaddyhart	71
86	xxPipperDipperxx	70
86	Rumpletaezer	70
86	Blackerstons	70
89	joethahobo	69
90	Aatronix1	66
91	Mr_Byzantine	65
91	Cryptacity	65
93	SaucyDark	64
93	noam464	64
95	Swexti	63
95	bloodbiter	63
97	2Stout	62
97	Freak_Genius	62
99	The_Great_Jake	61
99	adarkwindblows	61
99	ellygaytor	61
99	seramalen	61
99	_nahoy	61
99	MelodyGaysharks	61
105	musique99	60
105	Mimiir345	60
105	UnderKat	60
105	thebluehippo	60
105	MyNameIsJobo	60
105	SeaCatSnake_	60
105	Shavrin	60
105	frankosgf	60
105	Optiprimus	60
105	Kowcio_	60
105	pk1297	60
105	Kferno	60
105	xX_Stalin69_Xx	60
105	bitsplease	60
119	Alexanderjac	59
119	Judaxx	59
119	cnicholspgh	59
119	pintsizedrogue	59
119	Seamus002	59
119	Matemaks2137	59
119	SyK7	59
119	LordlessAbyss	59
119	2xil2	59
119	Mowelan	59
119	burpboypower	59
119	BigBootyHudge	59
119	SlowMoNinja1994	59
119	Vollkommenheit	59
119	DepressedCubic	59
119	6king6colt6	59
119	Tolhart	59
119	RatatJuice	59
119	Paleshield	59
119	wickedword	59
119	SailiXX	59
119	Filborg	59
119	Chroikey	59
119	DangusCnt	59
119	opogo_	59
119	spaece	59
119	mennorovers	59
119	Unitas_isa	59
119	Digcove	59
119	Shazzyling	59
119	SirMinza	59
119	jjsadler	59
119	SteveCraftBlocks	59
119	Z3braYTIL	59
119	stopfive	59
119	Cambo5000	59
119	Gingayy	59
119	CrookedKaptain	59
119	UncreativeArtist	59
119	dragon589	59
119	Awyrlas	59
119	VirusUploaded	59
119	_Magdo_	59
119	Sandov	59
119	Jon__Arbuckle	59
119	LikeableSausage	59
119	eviltunix	59
119	Celestikka	59
119	DSYisDizzy	59
119	Trus7	59
119	ItzYaBoiPicard	59
119	maddog2014	59
119	ouija_	59
119	Minc_	59
119	SHAOBADMAN	59
119	Kawaii_Haxor_L	59
119	MethylRadical	59
119	Exarah	59
119	Crasswolf	59
119	outofricekrispy	59
119	FetteMutter	59
119	Doom_melon	59
119	dedgt	59
119	Ripleey	59
119	_8man	59
119	NarwhalTaco	59
119	Nicole_Plus	59
119	grislgrobl	59
119	CHUUUBZZ_99	59
119	DaftDecker	59
119	DeeDeeThonk	59
119	Pazantine	59
119	LucasP2k	59
119	brickman241	59
119	Hyperphoenix42	59
119	fxiryglitch	59
119	Kars_Requiem	59
119	brycepants	59
119	Kryktal	59
119	Drewen24	59
119	Ajax6	59
119	Cyber_Stealth05	59
119	SkyHighSkier	59
119	Joshua_Crazy	59
119	eSpawNa	59
119	Dabatha	59
119	Roikdean	59
119	LibertyMutual	59
119	Joestra	59
119	yulgur1	59
119	NoobSlayerPro	59
119	Alendral	59
119	Feeba	59
119	Russiancat1	59
119	Mafubana	59
119	misomon	59
119	jambvds	59
119	1442	59
119	alddd	59
119	DASH_X7	59
119	DukBob	59
119	_zzoe	59
119	OrangeJuiceBox	59
119	Nycteus_	59
119	skelecorebot	59
119	carpet4_69	59
119	Promsiel	59
119	Universz	59
119	BumbleBeever	59
119	419mmurphy	59
119	Barlycorn	59
119	RedVelvetMochi	59
119	yoyoYoloMonke	59
119	caustic7	59
119	ComplexSquirrel	59
119	Paigefly	59
119	Factoroni	59
119	Smiguli_	59
119	bruh072	59
119	Chaotic1s	59
119	Cocoamallows	59
119	legoclone09	59
119	PabloGonza02	59
119	robotemo	59
119	MineMaster0012	59
119	BioKing99	59
119	jaimshae	59
119	Western_1	59
119	sebastiensaborio	59
119	how_are_you	59
119	alderban107	59
119	ScarmedLeft	59
119	mobunni	59
119	tokvo	59
119	smogfrog	59
119	Creeper_ez	59
119	RoboTramp7865	59
119	NoxXIV	59
119	mackintosh_x	59
119	Havazelet	59
119	sea_otter_h	59
119	remmisrat	59
119	Schlitzman	59
262	weezygator	58
262	kevinpamberg	58
262	Skylord_Luke	58
262	fluddd	58
262	reaperface123	58
262	Miko_Fullbuster	58
262	FelixPSY375	58
269	Jovaphobic	57
269	bbrothers_5	57
269	BasedEphex	57
269	Mpkkiller	57
269	halfbakedlasagna	57
269	bloomkieren	57
269	SprinklerMan	57
276	baboonlord400	56
276	Kubelz	56
276	zcrk	56
276	TheShyPig	56
276	Genius4Hire	56
276	The_Quack_Dealer	56
276	Rocket103	56
276	K_a__a_n	56
284	KomputerDude	55
284	heckface	55
284	KASAN420	55
287	RosaDoesMC	54
287	duelcard	54
287	Elprone266	54
287	Stewart32547	54
287	Demiurging	54
287	ptweezy	54
287	Captain_Nasty	54
287	AbrociousXP	54
287	MAns_44	54
287	Lirael42	54
287	annaellieee	54
287	_coley	54
287	JasmineGK	54
300	Vincent________	53
